FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,NODEID,nodeX,nodeY,STREET1,STREET2
49,1,49,1,0,0,1,2016,5215,948925.4985,146086.0714,AMBER STREET,AMBOY ROAD
50,1,50,1,1,0,0,2016,19801,997802.4627,198300.9456,GRAND STREET,UNION AVENUE
51,1,51,1,1,0,0,2016,15139,980679.1771,195276.3585,WATER STREET,WHITEHALL STREET
52,1,52,1,1,0,0,2016,13443,984884.7034,166499.9275,65 STREET,NEW UTRECHT AVENUE
53,1,53,1,0,0,1,2016,323,918928.6759,123782.219,HYLAN BOULEVARD,JOLINE AVENUE
54,1,54,1,1,0,0,2016,48414,1018455.223,241320.1628,WESTCHESTER AVENUE,MANOR AVENUE
55,1,55,1,1,0,0,2016,43732,1003371.877,248277.5895,AMSTERDAM AVENUE,WEST 181 STREET
56,1,56,1,1,0,0,2016,42496,1001711.169,232583.4351,EAST 126 STREET,LEXINGTON AVENUE
57,1,57,1,0,0,1,2016,40685,1001593.357,206612.077,REVIEW AVENUE,37 STREET
58,1,58,1,1,0,0,2016,23360,991278.7553,228307.5776,WEST 93 STREET,WEST END AVENUE
59,1,59,1,1,0,0,2016,32266,1022414.923,192859.8381,FOREST PARKWAY,PARK LANE SOUTH
60,1,60,1,1,0,0,2016,46864,1018509.287,217348.1674,ASTORIA BOULEVARD,93 STREET
61,1,61,1,0,0,1,2016,29376,1013036.598,186073.3162,NEW JERSEY AVENUE,FULTON STREET
62,1,62,1,1,0,0,2016,21508,989230.5543,212176.1144,EAST 36 STREET,MADISON AVENUE
63,1,63,1,1,0,0,2016,17461,994810.8086,160732.3213,QUENTIN ROAD,CONEY ISLAND AVENUE
64,1,64,1,1,0,0,2016,26822,1002811.642,186138.0766,ATLANTIC AVENUE,SCHENECTADY AVENUE
65,1,65,1,1,0,0,2016,41621,1004062.972,219474.2196,21 STREET,30 ROAD
66,1,66,1,1,0,0,2016,28752,1012171.627,172033.1251,AVENUE K,EAST 94 STREET
67,1,67,1,1,0,0,2016,49462,1012516.324,263731.0458,BROADWAY,MANHATTAN COLLEGE PARKWAY
68,1,68,1,0,0,1,2016,54241,1023777.41,260553.6637,BRONXWOOD AVENUE,EAST 219 STREET
69,1,69,1,0,1,0,2016,49124,1017565.782,255431.4761,MOSHOLU PARKWAY,SOUTHERN BOULEVARD
70,1,70,1,1,0,0,2016,21731,989277.025,223301.0131,BROADWAY,WEST 73 STREET
71,1,71,1,1,0,0,2016,51956,1020889.565,239808.1874,ROSEDALE AVENUE,BRUCKNER BOULEVARD
72,1,72,1,0,0,1,2016,49295,1019758.386,259418.3149,EAST GUN HILL ROAD,WEBSTER AVENUE
73,1,73,1,0,0,1,2016,52612,1022499.46,245893.3327,EAST TREMONT AVENUE,DOGWOOD DRIVE
74,1,74,1,0,1,0,2016,21327,985733.081,219801.7025,WEST 55 STREET,12 AVENUE
75,1,75,1,1,0,0,2016,27013,1005617.047,188539.2627,RALPH AVENUE,MACON STREET
76,1,76,1,1,0,0,2016,30162,1013576.453,194624.4832,61 STREET,MYRTLE AVENUE
77,1,77,1,1,0,0,2016,42513,1001518.315,235386.4788,WEST 135 STREET,5 AVENUE
78,1,78,1,0,0,1,2016,2475,937509.2454,131191.2492,HYLAN BOULEVARD,ALLEN PLACE
79,1,79,1,1,0,0,2016,42121,1002397.568,229765.2551,1 AVENUE,EAST 118 STREET
80,1,80,1,1,0,0,2016,31820,1027860.361,183638.7086,ALBERT ROAD,CROSS BAY BOULEVARD
81,1,81,1,1,0,0,2016,21549,989780.2612,218177.3357,WEST 57 STREET,7 AVENUE
82,1,82,1,0,0,1,2016,53298,1029141.232,246405.0295,WESTCHESTER AVENUE,HUTCHINSON RIVER PARKWAY
83,1,83,1,1,0,0,2016,43109,1007843.459,239931.4779,COURTLANDT AVENUE,EAST 162 STREET
84,1,84,2,0,0,2,2016,28703,1011602.93,174539.0483,GLENWOOD ROAD,EAST 98 STREET
85,1,85,1,0,0,1,2016,54303,1024100.415,261325.3157,BRONXWOOD AVENUE,EAST 222 STREET
86,1,86,1,1,0,0,2016,55656,1033927.183,218034.3799,NORTHERN BOULEVARD,146 STREET
