FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,NODEID,nodeX,nodeY,STREET1,STREET2
250,1,250,1,1,0,0,2015,27211,1009004.494,186403.6236,ROCKAWAY AVENUE,FULTON STREET
251,1,251,1,0,0,1,2015,32717,1028480.192,192655.1141,JAMAICA AVENUE,107 STREET
252,1,252,1,1,0,0,2015,17050,998981.7845,152950.1321,VOORHIES AVENUE,EAST 22 STREET
253,1,253,1,1,0,0,2015,6267,944924.6797,166881.5082,DECKER AVENUE,FOREST AVENUE
254,1,254,2,0,0,2,2015,55307,1038442.593,209727.2282,BOOTH MEMORIAL AVENUE,164 STREET
255,1,255,1,1,0,0,2015,18984,997020.6697,188326.691,PUTNAM AVENUE,BEDFORD AVENUE
256,1,256,1,1,0,0,2015,31214,1020295.816,182657.1029,LINDEN BOULEVARD,EUCLID AVENUE
257,1,257,1,1,0,0,2015,32607,1026077.815,199186.7936,71 AVENUE,KESSEL STREET
258,1,258,1,1,0,0,2015,47494,1015609.776,237677.7652,SENECA AVENUE,BRYANT AVENUE
259,1,259,1,0,0,1,2015,38735,1050495.423,184246.1611,183 STREET,140 AVENUE
260,1,260,1,0,0,1,2015,39708,1051908.757,191996.4671,LINDEN BOULEVARD,196 STREET
261,1,261,1,0,0,1,2015,58453,1040219.542,200761.0129,168 STREET,GRAND CENTRAL PARKWAY SR NORTH
262,1,262,1,1,0,0,2015,16162,989558.0012,199244.3394,MADISON STREET,JACKSON STREET
263,1,263,1,1,0,0,2015,43947,1006816.519,240067.6548,MORRIS AVENUE,EAST 161 STREET
264,1,264,1,1,0,0,2015,18274,996149.0671,172510.1153,DITMAS AVENUE,EAST 22 STREET
265,1,265,1,0,0,1,2015,7641,957131.8301,148696.7059,MASON AVENUE,MIDLAND AVENUE
266,1,266,1,0,0,1,2015,21098,982382.8777,214158.3316,WEST 30 STREET,12 AVENUE
267,1,267,1,0,0,1,2015,28918,1014819.767,179358.0413,LINDEN BOULEVARD,NEW JERSEY AVENUE
268,1,268,1,1,0,0,2015,21545,989278.3689,218456.3541,WEST 57 STREET,BROADWAY
269,1,269,1,0,1,0,2015,4982,946856.2277,140142.3169,REDGRAVE AVENUE,HYLAN BOULEVARD
270,1,270,1,1,0,0,2015,33859,1033242.925,185908.0803,115 STREET,ROCKAWAY BOULEVARD
271,1,271,1,1,0,0,2015,28942,1015419.172,175815.2793,VANDALIA AVENUE,LOUISIANA AVENUE
272,1,272,1,1,0,0,2015,23925,994920.8641,231167.7457,COLUMBUS AVENUE,WEST 109 STREET
273,1,273,1,0,0,1,2015,36089,1048601.562,178562.3867,RAMP,ROCKAWAY BOULEVARD
274,1,274,1,1,0,0,2015,29150,1010331.069,186308.5454,SACKMAN STREET,FULTON STREET
275,1,275,1,1,0,0,2015,12782,984049.6165,157422.6757,21 AVENUE,CROPSEY AVENUE
276,1,276,1,0,1,0,2015,41029,1006281.008,203865.7967,48 STREET,56 ROAD
277,1,277,1,0,1,0,2015,60801,1041654.475,251190.0984,CITY IS BRIDGE,CITY ISLAND AVENUE
278,1,278,1,1,0,0,2015,44783,1009065.445,257811.261,BROADWAY,BROADWAY BRIDGE
279,1,279,1,1,0,0,2015,22760,993760.1939,217188.8665,EAST 61 STREET,3 AVENUE
280,1,280,1,0,0,1,2015,17928,991740.9197,171027.1987,OCEAN PARKWAY,DITMAS AVENUE
281,1,281,1,1,0,0,2015,27106,1007635.865,182049.9289,SUTTER AVENUE,STRAUSS STREET
282,1,282,1,1,0,0,2015,18409,998268.9316,172772.4544,AVENUE D,EAST 29 STREET
283,1,283,1,0,1,0,2015,38281,1053181.028,160300.6686,BAYPORT PLACE,AUGUSTINA AVENUE
284,1,284,2,1,0,1,2015,34076,1036806.599,182096.4118,SOUTH CONDUIT AVENUE,130 STREET
285,1,285,1,1,0,0,2015,28864,1014348.338,170815.7227,ROCKAWAY PARKWAY,AVENUE N
286,1,286,1,1,0,0,2015,37109,1041424.106,195841.7445,165 STREET,ARCHER AVENUE
287,1,287,3,0,0,3,2015,59940,1049062.677,210608.2435,210 STREET,64 AVENUE
288,1,288,1,0,0,1,2015,41944,1009318.164,219836.4006,23 ROAD,STEINWAY STREET
289,1,289,2,1,0,1,2015,3432,937703.1777,153892.5817,RICHMOND HILL ROAD,RICHMOND AVENUE
290,1,290,1,0,0,1,2015,30346,1016838.507,191478.8632,JACKIE ROBINSON PARKWAY,CYPRESS HILLS STREET
291,1,291,1,0,0,1,2015,34453,1030257.499,198002.3767,PARK LANE,PARK LANE SOUTH
292,1,292,1,0,0,1,2015,55871,1036761.957,216723.874,155 STREET,SANFORD AVENUE
293,1,293,1,1,0,0,2015,18976,997183.3104,187255.5514,BEDFORD AVENUE,FULTON STREET
294,1,294,1,1,0,0,2015,14125,985125.7233,173999.8105,9 AVENUE,42 STREET
295,1,295,1,1,0,0,2015,12822,985500.1025,155903.2168,CROPSEY AVENUE,BAY 35 STREET
296,1,296,1,1,0,0,2015,20571,985648.6258,200082.3692,CANAL STREET,MANHATTAN BR APPROACH
297,1,297,1,1,0,0,2015,23541,995390.6532,223287.3583,MADISON AVENUE,EAST 84 STREET
298,1,298,1,0,1,0,2015,13815,980484.6863,175682.2383,48 STREET,3 AVENUE
299,1,299,2,2,0,0,2015,2580,938924.4227,131925.3523,HAROLD AVENUE,HYLAN BOULEVARD
300,1,300,1,1,0,0,2015,55419,1030328.883,214868.4187,COLLEGE POINT BOULEVARD,41 AVENUE
301,1,301,1,1,0,0,2015,22758,993443.167,217662.6451,LEXINGTON AVENUE,EAST 62 STREET
302,1,302,1,1,0,0,2015,24999,1002514.638,158247.4805,KNAPP STREET,GERRITSEN AVENUE
303,1,303,1,1,0,0,2015,14084,984801.2358,179904.1294,25 STREET,4 AVENUE
304,1,304,1,0,0,1,2015,53178,1028537.489,243494.8825,COMMERCE AVENUE,NEWBOLD AVENUE
305,1,305,1,1,0,0,2015,28841,1013603.694,176252.5731,GLENWOOD ROAD,EAST 108 STREET
306,1,306,1,1,0,0,2015,55507,1031493.589,215553.0434,MAIN STREET,41 AVENUE
307,1,307,1,0,0,1,2015,58059,1033092.483,259916.3815,CO-OP CITY BOULEVARD,PEARTREE AVENUE
308,1,308,1,1,0,0,2015,28950,1015518.185,177617.569,COZINE AVENUE,PENNSYLVANIA AVENUE
309,1,309,1,1,0,0,2015,41552,1003738.743,216463.6875,28 STREET,34 AVENUE
310,1,310,1,1,0,0,2015,22695,992295.4071,217702.458,EAST 60 STREET,MADISON AVENUE
311,1,311,1,0,0,1,2015,47454,1014159.697,239740.225,WESTCHESTER AVENUE,SOUTHERN BOULEVARD
312,1,312,1,1,0,0,2015,6516,946915.9224,169627.5164,HEBERTON AVENUE,PALMER AVENUE
313,1,313,1,1,0,0,2015,16981,997455.9083,153567.4672,AVENUE Z,EAST 17 STREET
314,1,314,1,0,0,1,2015,37927,1050520.404,158020.2237,FAR ROCKAWAY BOULEVARD,ROCKAWAY FREEWAY
315,1,315,1,1,0,0,2015,61259,1054827.071,205098.9501,219 STREET,HILLSIDE AVENUE
316,1,316,1,1,0,0,2015,44165,1008091.494,243026.0288,MORRIS AVENUE,EAST 168 STREET
317,1,317,1,1,0,0,2015,21225,984716.8626,216465.1377,11 AVENUE,WEST 42 STREET
318,1,318,1,1,0,0,2015,18235,995865.9246,175182.1047,FLATBUSH AVENUE,ALBEMARLE ROAD
319,1,319,1,1,0,0,2015,12815,985209.7717,155439.5629,24 AVENUE,SHORE PARKWAY
320,1,320,1,1,0,0,2015,18649,991338.7653,189318.5919,SOUTH PORTLAND AVENUE,FULTON STREET
321,1,321,1,1,0,0,2015,30551,1019041.777,197589.9202,69 ROAD,78 STREET
322,1,322,1,0,1,0,2015,43859,1005429.33,240006.7599,GRAND CONCOURSE,EAST 158 STREET
323,1,323,1,1,0,0,2015,58285,1031385.744,261863.6381,BOSTON ROAD,DE LAVALL AVENUE
324,1,324,1,1,0,0,2015,46931,1019252.57,215025.859,NORTHERN BOULEVARD,JUNCTION BOULEVARD
325,1,325,1,0,1,0,2015,23131,998859.5866,214885.0391,VERNON BOULEVARD,41 AVENUE
326,1,326,1,0,0,1,2015,44214,1008496.099,248123.469,EAST 175 STREET,JEROME AVENUE
327,1,327,1,0,0,1,2015,58228,1030056.141,261331.5853,BOSTON ROAD,MAROLLA PLACE
328,1,328,1,0,0,1,2015,41118,1007122.798,207244.6315,LAUREL HILL BOULEVARD,49 STREET
329,1,329,1,1,0,0,2015,10863,964296.9631,162731.9233,VIRGINIA AVENUE,TOMPKINS AVENUE
330,1,330,1,1,0,0,2015,47384,1013847.184,237811.6954,BARRETTO STREET,SOUTHERN BOULEVARD
331,1,331,1,1,0,0,2015,17644,996480.8282,166379.0846,OCEAN AVENUE,AVENUE K
332,1,332,1,1,0,0,2015,27633,1004220.619,191604.2763,KOSSUTH PLACE,PATCHEN AVENUE
333,1,333,1,1,0,0,2015,11259,962923.856,171635.3471,BAY STREET,VICTORY BOULEVARD
334,1,334,1,1,0,0,2015,22753,993393.3705,216496.7947,EAST 58 STREET,3 AVENUE
335,1,335,1,0,0,1,2015,19752,997179.7179,194091.8369,LEE AVENUE,FLUSHING AVENUE
336,1,336,1,1,0,0,2015,30111,1012151.617,198929.0546,METROPOLITAN AVENUE,62 STREET
337,1,337,1,1,0,0,2015,22914,995035.3685,216480.2393,1 AVENUE,EAST 61 STREET
338,1,338,1,1,0,0,2015,30450,1017990.775,199003.6444,METROPOLITAN AVENUE,74 STREET
339,1,339,1,1,0,0,2015,17066,998163.105,156784.5897,GRAVESEND NECK ROAD,EAST 21 STREET
340,1,340,1,0,0,1,2015,40507,1060282.018,188318.5447,BROOKVILLE BOULEVARD,HOOK CREEK BOULEVARD
341,1,341,1,0,0,1,2015,24875,1001266.425,152012.5422,EMMONS AVENUE,NOSTRAND AVENUE
342,1,342,1,1,0,0,2015,22798,994133.5068,214848.8975,1 AVENUE,EAST 54 STREET
343,1,343,1,1,0,0,2015,52366,1020195.826,240664.3701,WATSON AVENUE,CROES AVENUE
344,1,344,1,0,1,0,2015,42503,1001640.634,233513.3841,EAST 129 STREET,PARK AVENUE
345,1,345,1,1,0,0,2015,55504,1031825.058,214532.9007,MAIN STREET,MAPLE AVENUE
346,1,346,1,1,0,0,2015,19053,999538.5255,181257.752,BALFOUR PLACE,EMPIRE BOULEVARD
347,1,347,1,1,0,0,2015,23927,994514.1678,232291.7615,AMSTERDAM AVENUE,WEST 112 STREET
348,1,348,1,1,0,0,2015,17478,994296.7939,164282.9307,CONEY ISLAND AVENUE,AVENUE M
349,1,349,1,1,0,0,2015,29632,1017305.343,180767.9696,LINDEN BOULEVARD,ASHFORD STREET
350,1,350,1,0,0,1,2015,3416,936106.3118,159210.5461,SIGNS ROAD,VICTORY BOULEVARD
351,1,351,1,1,0,0,2015,26226,1003738.733,178063.3588,EAST 51 STREET,LENOX ROAD
352,1,352,1,1,0,0,2015,42277,1006968.779,223920.2245,19 STREET,DITMARS BOULEVARD
353,1,353,1,1,0,0,2015,24835,1000971.056,154076.8064,AVENUE Z,NOSTRAND AVENUE
354,1,354,1,1,0,0,2015,17492,994195.4719,166937.945,AVENUE J,EAST 12 STREET
355,1,355,1,1,0,0,2015,36515,1044087.139,189408.1619,BEDELL STREET,BAISLEY PARK HOUSES PED PATH
356,1,356,1,1,0,0,2015,32492,1025245.701,192030.5779,JAMAICA AVENUE,WOODHAVEN BOULEVARD
357,1,357,1,1,0,0,2015,50889,1022215.002,213883.8567,105 STREET,37 AVENUE
358,1,358,1,1,0,0,2015,55426,1030250.543,215182.6435,COLLEGE POINT BOULEVARD,40 ROAD
359,1,359,1,1,0,0,2015,19629,995668.2314,199709.017,METROPOLITAN AVENUE,DRIGGS AVENUE
360,1,360,1,1,0,0,2015,46606,1015044.275,210136.5811,WOODSIDE AVENUE,76 STREET
361,1,361,1,1,0,0,2015,15975,988875.3779,191992.1495,GOLD STREET,FLATBUSH AVENUE EXTENSION
362,1,362,1,1,0,0,2015,44625,1007190.242,253954.2645,UNIVERSITY HEIGHTS BRIDGE APPR,9 AVENUE
363,1,363,3,3,0,0,2015,52712,1023565.721,248026.839,BOGART AVENUE,MORRIS PARK AVENUE
364,1,364,2,2,0,0,2015,44171,1008109.879,244858.0031,EAST 170 STREET,GRAND CONCOURSE
365,1,365,1,1,0,0,2015,57583,1033796.064,240113.9677,EAST TREMONT AVENUE,ROOSEVELT AVENUE
366,1,366,1,1,0,0,2015,40691,1001776.319,207326.9542,STARR AVENUE,VAN DAM STREET
367,1,367,1,1,0,0,2015,12835,985473.7475,157957.2153,BAY PARKWAY,BENSON AVENUE
368,1,368,1,1,0,0,2015,14181,987281.4244,172954.3041,40 STREET,12 AVENUE
369,1,369,1,1,0,0,2015,55568,1032077.269,213774.7694,MAIN STREET,BLOSSOM AVENUE
370,1,370,1,1,0,0,2015,36336,1042531.181,185340.4863,125 AVENUE,SUTPHIN BOULEVARD
371,1,371,1,0,0,1,2015,10068,965750.5921,156613.7731,CEDAR AVENUE,JACKSON AVENUE
372,1,372,1,1,0,0,2015,15623,985813.8354,190749.3436,ATLANTIC AVENUE,CLINTON STREET
373,1,373,1,1,0,0,2015,27471,1002514.382,192985.4743,BROADWAY,VERNON AVENUE
374,1,374,1,1,0,0,2015,22676,992844.7955,214072.0161,2 AVENUE,EAST 49 STREET
375,1,375,1,1,0,0,2015,26754,1001077.984,183451.0875,ALBANY AVENUE,LINCOLN PLACE
376,1,376,1,1,0,0,2015,10988,965888.7053,163012.4545,BAY STREET,HYLAN BOULEVARD
377,1,377,1,1,0,0,2015,54580,1028370.334,261650.525,CRAWFORD AVENUE,BAYCHESTER AVENUE
378,1,378,1,0,0,1,2014,12552,986887.954,149987.8681,WEST 23 STREET,NEPTUNE AVENUE
379,1,379,1,1,0,0,2014,15808,987080.6899,197982.7015,SOUTH STREET,RUTGERS SLIP
380,1,380,1,1,0,0,2014,23257,990508.2155,220369.8149,65 ST TRANSVERSE,WEST DRIVE
381,1,381,1,1,0,0,2014,23386,992822.1613,221054.9874,TERRACE DRIVE,EAST DRIVE
382,1,382,1,1,0,0,2014,22180,997576.036,200124.6854,JACKSON STREET,UNION AVENUE
383,1,383,1,1,0,0,2014,25009,1003126.045,152135.9343,EMMONS AVENUE,BRIGHAM STREET
384,1,384,1,1,0,0,2014,99555,1008597.037,232413.0251,EAST 138 STREET,BRUCKNER EP EB EN MJR DEEGAN EP
385,1,385,4,0,0,4,2014,47026,1011703.488,223205.0979,19 AVENUE,37 STREET
386,1,386,1,0,0,1,2014,48716,1011764.492,260047.3622,BAILEY PLACE,BAILEY AVENUE
387,1,387,1,1,0,0,2014,45714,1015735.32,208342.9462,QUEENS BOULEVARD,IRELAND STREET
388,1,388,1,0,0,1,2014,78955,1017422.731,265536.7246,EAST 233 STREET,MAJOR DEEGAN EP NB EN E 233 ST
389,1,389,1,1,0,0,2014,49231,1019609.282,251309.4994,BRONX RVR PY NB EN PELHAM PY WB,PELHAM PARKWAY
390,1,390,1,0,1,0,2014,71787,1025935.942,213817.2791,CASEY STENGEL PLAZA,ROOSEVELT AVENUE
391,1,391,1,0,1,0,2014,50590,1029674.078,204178.6964,69 ROAD,JEWEL AVENUE
392,1,392,1,0,0,1,2014,59062,1048275.07,208051.4737,CLEARVIEW EXPRESSWAY ET 3 SB,73 AVENUE
393,1,393,2,0,0,2,2014,36896,1049787.941,182405.3285,BELT PARKWAY SB ENTRANCE 181 ST,181 STREET
394,1,394,1,0,0,1,2014,22522,990886.4431,215157.6665,EAST 49 STREET,MADISON AVENUE
395,1,395,1,1,0,0,2014,32181,1020244.535,197694.4068,COOPER AVENUE,69 ROAD
396,1,396,1,0,0,1,2014,41161,1008831.758,201467.4813,GRAND AVENUE,RUST STREET
397,1,397,1,1,0,0,2014,22094,996508.4922,200029.1279,NORTH 6 STREET,ROEBLING STREET
398,1,398,1,0,0,1,2014,53815,1026463.018,252155.541,FISH AVENUE,PELHAM PARKWAY NORTH
399,1,399,1,1,0,0,2014,55526,1031855.688,217647.7665,NORTHERN BOULEVARD,UNION STREET
400,1,400,1,1,0,0,2014,16918,996820.8374,156064.6043,GRAVESEND NECK ROAD,EAST 16 STREET
401,1,401,1,1,0,0,2014,13183,980998.2319,162512.4979,14 AVENUE,86 STREET
402,1,402,1,0,0,1,2014,11435,973263.2966,164615.4431,SHORE ROAD,93 STREET
403,1,403,1,1,0,0,2014,29601,1016068.646,186230.3271,ATLANTIC AVENUE,CLEVELAND STREET
404,1,404,1,1,0,0,2014,23577,996343.7583,221852.1085,EAST 81 STREET,3 AVENUE
405,1,405,1,0,1,0,2014,27156,1007533.696,189242.1419,WEIRFIELD STREET,BROADWAY
406,1,406,1,0,1,0,2014,39021,1053402.484,182162.9697,143 AVENUE,NORTH CONDUIT AVENUE
407,1,407,1,1,0,0,2014,31618,1024039.683,189223.9005,ATLANTIC AVENUE,85 STREET
408,1,408,1,0,0,1,2014,29630,1016919.921,188993.6286,HIGHLAND PARK GREENWAY,FORCE TUBE AVENUE
409,1,409,1,1,0,0,2014,18930,996898.6522,189127.7655,BEDFORD AVENUE,GATES AVENUE
410,1,410,1,1,0,0,2014,17402,993089.4374,162228.5519,OCEAN PARKWAY,AVENUE O
411,1,411,1,1,0,0,2014,16395,991296.2323,150577.7484,WEST 6 STREET,NEPTUNE AVENUE
412,1,412,1,1,0,0,2014,23293,990898.6183,227620.0888,WEST 90 STREET,WEST END AVENUE
413,1,413,1,1,0,0,2014,14917,987020.106,184347.9525,7 STREET,3 AVENUE
414,1,414,1,0,0,1,2014,48030,1013548.07,243478.0062,WILKINS AVENUE,BOSTON ROAD
415,1,415,1,1,0,0,2014,55161,1037447.136,200485.1342,82 DRIVE,PARSONS BOULEVARD
416,1,416,1,0,0,1,2014,57408,1031748.483,242911.6491,EAST TREMONT AVENUE,BRUCKNER BOULEVARD
417,1,417,1,0,1,0,2014,19615,995355.3088,198237.9307,SOUTH 4 STREET,ROEBLING STREET
418,1,418,1,1,0,0,2014,42547,1002380.036,232820.1647,3 AVE-E 128 STREET PED OVPS,3 AVENUE BRIDGE APPROACH
419,1,419,1,0,0,1,2014,16311,997863.1909,149529.073,BEAUMONT STREET,ORIENTAL BOULEVARD
420,1,420,1,0,0,1,2014,36094,1048800.968,178418.9323,150 ROAD,GUY R BREWER BOULEVARD
421,1,421,1,1,0,0,2014,21337,986465.0809,212194.615,7 AVENUE,WEST 31 STREET
422,1,422,1,1,0,0,2014,51955,1020838.069,239141.8567,STORY AVENUE,SOUNDVIEW AVENUE
423,1,423,1,1,0,0,2014,50385,1027497.921,202160.4291,71 AVENUE,QUEENS BOULEVARD
424,1,424,1,1,0,0,2014,18956,997213.1069,183381.55,ROGERS AVENUE,EASTERN PARKWAY
425,1,425,1,1,0,0,2014,30151,1013406.703,193808.9963,60 LANE,75 AVENUE
426,1,426,1,0,1,0,2014,31766,1026070.821,187726.6463,102 ROAD,ROCKAWAY BOULEVARD
427,1,427,1,1,0,0,2014,26700,1000217.064,182188.4487,CARROLL STREET,KINGSTON AVENUE
428,1,428,1,0,0,1,2014,17399,993222.1274,161305.3779,OCEAN PARKWAY,AVENUE P
429,1,429,1,0,1,0,2014,36311,1042147.618,182340.8096,148 STREET,NORTH CONDUIT AVENUE
430,1,430,1,1,0,0,2014,27326,1000351.303,194574.8999,BROADWAY,FLUSHING AVENUE
431,1,431,1,0,0,1,2014,48888,1014368.636,252128.8974,EAST 188 STREET,3 AVENUE
432,1,432,1,1,0,0,2014,28830,1013065.112,174856.8003,FLATLANDS AVENUE,EAST 103 STREET
433,1,433,1,1,0,0,2014,46660,1014986.939,218123.3069,ASTORIA BOULEVARD,ASTORIA BOULEVARD RAMP
434,1,434,1,0,0,1,2014,42436,1000681.696,232834.2089,MADISON AVENUE,EAST 125 STREET
435,1,435,1,1,0,0,2014,55464,1030806.723,219035.0767,LINDEN PLACE,32 AVENUE
436,1,436,1,1,0,0,2014,13784,980154.8835,170246.0454,65 STREET,7 AVENUE
437,1,437,1,0,0,1,2014,36968,1049160.728,189663.9422,178 PLACE,119 ROAD
438,1,438,1,1,0,0,2014,27962,1008918.487,194147.4011,PALMETTO STREET,WYCKOFF AVENUE
439,1,439,1,1,0,0,2014,23668,997206.7224,226564.1755,EAST 98 STREET,MADISON AVENUE
440,1,440,1,1,0,0,2014,10213,967085.1203,156535.896,LILY POND AVENUE,FR CAPODANNO BOULEVARD
441,1,441,1,1,0,0,2014,42997,1006742.326,236129.1958,WILLIS AVENUE,EAST 147 STREET
442,1,442,1,1,0,0,2014,783,927866.7453,127561.7357,BAYVIEW AVENUE,HYLAN BOULEVARD
443,1,443,1,1,0,0,2014,18474,999411.0028,172008.4169,NEW YORK AVENUE,FOSTER AVENUE
444,1,444,1,0,0,1,2014,36365,1042593.087,189981.2415,LINDEN BOULEVARD,158 STREET
445,1,445,1,1,0,0,2014,20472,983690.4047,209040.3694,8 AVENUE,WEST 15 STREET
446,1,446,1,1,0,0,2014,17959,991602.6165,175214.0604,CATON AVENUE,EAST 7 STREET
447,1,447,1,1,0,0,2014,48533,1019887.257,245219.6625,EAST TREMONT AVENUE,VAN NEST AVENUE
448,1,448,1,0,0,1,2014,41947,1009426.153,219547.8808,ASTORIA BOULEVARD NORTH,41 STREET
449,1,449,1,0,0,1,2014,22142,996764.9254,206601.1715,MANHATTAN AVENUE,GREEN STREET
450,1,450,1,1,0,0,2014,50035,1023605.54,206846.0398,99 STREET,62 ROAD
451,1,451,1,1,0,0,2014,32713,1028979.414,191079.7334,ATLANTIC AVENUE,107 STREET
452,1,452,1,0,1,0,2014,40215,1057546.495,190077.4027,228 STREET,120 AVENUE
453,1,453,1,1,0,0,2014,58923,1046284.07,201866.9949,WICKLOW PLACE,188 STREET
454,1,454,1,1,0,0,2014,29233,1011024.575,185396.4606,EAST NEW YORK AVENUE,VAN SINDEREN AVENUE
455,1,455,1,1,0,0,2014,18466,999480.7464,171156.4176,FARRAGUT ROAD,NEW YORK AVENUE
456,1,456,1,1,0,0,2014,41420,1001481.317,217853.2451,11 STREET,34 AVENUE
457,1,457,1,1,0,0,2014,18574,990502.1755,188495.9229,FLATBUSH AVENUE,ATLANTIC AVENUE
458,1,458,1,0,0,1,2014,52379,1020480.392,242091.3587,WESTCHESTER AVENUE,ROSEDALE AVENUE
459,1,459,1,0,1,0,2014,23151,998892.9756,217903.2844,MAIN STREET,RIVER ROAD
460,1,460,1,1,0,0,2014,41530,1003601.756,213262.6834,NORTHERN BOULEVARD,34 STREET
461,1,461,1,1,0,0,2014,20582,985644.4952,201820.4629,ELIZABETH STREET,KENMARE STREET
462,1,462,1,1,0,0,2014,41460,1002330.79,212885.3187,NORTHERN BOULEVARD,40 ROAD
463,1,463,1,1,0,0,2014,27334,1000194.443,195422.8346,GRAHAM AVENUE,VARET STREET
464,1,464,1,1,0,0,2014,20725,986820.5427,205191.1907,EAST 8 STREET,COOPER SQUARE
465,1,465,1,1,0,0,2014,20566,985086.14,200331.5715,ELIZABETH STREET,CANAL STREET
466,1,466,1,1,0,0,2014,20762,987931.0261,200117.5037,GRAND STREET,CLINTON STREET
467,1,467,1,0,1,0,2014,48490,1019608.501,242482.398,FTELEY AVENUE,EAST 172 STREET
468,1,468,1,1,0,0,2014,52565,1022808.206,241123.2832,WHITE PLAINS ROAD,WATSON AVENUE
469,1,469,1,1,0,0,2014,42071,1001478.768,229652.6799,2 AVENUE,EAST 116 STREET
470,1,470,1,1,0,0,2014,23377,991804.3221,229256.4569,WEST END AVENUE,WEST 97 STREET
471,1,471,1,1,0,0,2014,30037,1011571.602,200020.8438,60 DRIVE,FRESH POND ROAD
472,1,472,1,1,0,0,2014,44902,1008693.93,261278.9378,NETHERLAND AVENUE,WEST 232 STREET
473,1,473,1,1,0,0,2014,8526,950047.2905,168552.6629,DELAFIELD AVENUE,CLOVE ROAD
474,1,474,1,1,0,0,2014,20927,988029.438,208946.1898,EAST 23 STREET,PARK AVENUE SOUTH
475,1,475,1,1,0,0,2014,25619,1003572.517,166784.881,FLATLANDS AVENUE,SCHENECTADY AVENUE
476,1,476,1,1,0,0,2014,49020,1016985.823,250197.3756,EAST 187 STREET,SOUTHERN BOULEVARD
477,1,477,1,0,0,1,2014,8666,952808.243,166292.2344,BROADWAY,TYLER AVENUE
478,1,478,1,0,0,1,2014,26382,1006772.992,170445.9725,GLENWOOD ROAD,RALPH AVENUE
479,1,479,1,0,0,1,2014,9514,957845.0571,173200.1599,CASSIDY PLACE,LAFAYETTE AVENUE
480,1,480,1,0,0,1,2014,38265,1052359.691,160292.6467,BEACH CHANNEL DRIVE,DIX AVENUE
481,1,481,1,1,0,0,2014,12980,987520.5676,156333.7212,BENSON AVENUE,BAY 40 STREET
482,1,482,1,0,0,1,2014,19297,992918.2304,193490.7325,WAVERLY AVENUE,FLUSHING AVENUE
483,1,483,1,1,0,0,2014,23704,998756.6242,221724.2643,YORK AVENUE,EAST 85 STREET
484,1,484,1,1,0,0,2014,14404,982584.1536,184886.0319,LORRAINE STREET,HICKS STREET
485,1,485,1,1,0,0,2014,55587,1032303.197,216381.8635,UNION STREET,ROOSEVELT AVENUE
486,1,486,1,1,0,0,2014,13633,987787.5913,165895.995,60 STREET,18 AVENUE
487,1,487,1,1,0,0,2014,23928,994638.6108,232520.7056,AMSTERDAM AVENUE,WEST 113 STREET
488,1,488,1,0,0,1,2014,27980,1008250.066,197107.9657,ONDERDONK AVENUE,STANHOPE STREET
489,1,489,1,1,0,0,2014,35296,1039415.393,193792.0081,LIBERTY AVENUE,TUCKERTON STREET
490,1,490,1,1,0,0,2014,21206,984487.4572,214192.3272,10 AVENUE,WEST 34 STREET
491,1,491,1,1,0,0,2014,10183,966178.6293,158318.084,NARROWS ROAD SOUTH,LILY POND AVENUE
492,1,492,1,1,0,0,2014,20714,986805.4903,204632.8457,COOPER SQUARE,EAST 6 STREET
493,1,493,1,0,0,1,2014,38089,1054484.096,156357.3694,SEAGIRT BOULEVARD,BEACH 13 STREET
494,1,494,1,0,0,1,2014,27578,1003301.119,194885.9689,GEORGE STREET,CENTRAL AVENUE
495,1,495,1,0,1,0,2014,23748,998939.5733,228642.3079,EAST 108 STREET,PARK AVENUE
496,1,496,1,0,0,1,2014,29669,1017225.599,185362.3764,GLENMORE AVENUE,SHEPHERD AVENUE
497,1,497,1,0,0,1,2014,26635,1009882.976,173089.3041,GLENWOOD ROAD,REMSEN AVENUE
498,1,498,1,1,0,0,2014,13177,980022.9943,161281.7195,14 AVENUE,BATH AVENUE
499,1,499,1,1,0,0,2014,13571,986975.7163,164842.7852,65 STREET,18 AVENUE
500,1,500,1,0,0,1,2014,53873,1027501.763,250698.4343,EASTCHESTER ROAD,SEMINOLE STREET
501,1,501,1,0,0,1,2014,23829,999433.05,227425.6896,EAST 105 STREET,3 AVENUE
502,1,502,1,1,0,0,2014,25268,1005245.18,155034.1634,FLORENCE AVENUE,GERRITSEN AVENUE
503,1,503,1,1,0,0,2014,50964,1023114.439,214881.5811,109 STREET,34 AVENUE
504,1,504,1,1,0,0,2014,37136,1041386.183,198879.3697,HIGHLAND AVENUE,169 STREET
505,1,505,1,1,0,0,2014,48680,1011536.359,255992.8099,EAMES PLACE,CLAFLIN AVENUE
506,1,506,1,0,0,1,2014,26756,1001821.933,183054.133,TROY AVENUE,EASTERN PARKWAY
507,1,507,1,1,0,0,2014,20479,984262.1391,200869.5101,CANAL STREET,CENTRE STREET
508,1,508,1,1,0,0,2014,27019,1006409.981,180151.2713,ROCKAWAY PARKWAY,CLARKSON AVENUE
509,1,509,1,1,0,0,2014,20682,986118.2013,202449.8051,BOWERY,PRINCE STREET
