FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,nodeX,nodeY,STREET1,STREET2
49,1,49,1,0,1,0,4,2016,49124,1017565.782100000000000,255431.476100000000000,MOSHOLU PARKWAY,SOUTHERN BOULEVARD
50,1,50,1,0,0,1,4,2016,49295,1019758.386000000100000,259418.314900000000000,EAST GUN HILL ROAD,WEBSTER AVENUE
51,1,51,1,0,0,1,4,2016,30552,1019237.888300000000000,197100.813499999990000,COOPER AVENUE,78 STREET
52,1,52,1,1,0,0,4,2016,13858,981674.201299999960000,173413.548600000010000,6 AVENUE,52 STREET
53,1,53,1,0,1,0,4,2016,18559,990856.860100000050000,186314.427900000010000,STERLING PLACE,6 AVENUE
54,1,54,1,1,0,0,5,2016,66755,950434.327099999990000,148754.058200000000000,RICHMOND ROAD,AMBOY ROAD
55,1,55,1,0,0,1,5,2016,16538,993250.385499999970000,150725.625800000010000,OCEAN PARKWAY,NEPTUNE AVENUE
56,1,56,1,0,1,0,5,2016,17465,994975.057000000030000,161554.225500000000000,AVENUE P,EAST 12 STREET
57,1,57,1,0,0,1,5,2016,57640,1033951.690300000000000,246868.966900000000000,STADIUM AVENUE,GRISWOLD AVENUE
58,1,58,1,0,0,1,5,2016,323,918928.675900000030000,123782.219000000000000,HYLAN BOULEVARD,JOLINE AVENUE
59,1,59,1,1,0,0,5,2016,42496,1001711.168500000000000,232583.435100000000000,EAST 126 STREET,LEXINGTON AVENUE
60,1,60,1,1,0,0,5,2016,28752,1012171.626600000000000,172033.125100000000000,AVENUE K,EAST 94 STREET
61,1,61,1,1,0,0,5,2016,30162,1013576.453100000000000,194624.483199999990000,61 STREET,MYRTLE AVENUE
62,1,62,1,1,0,0,5,2016,21549,989780.261199999950000,218177.335700000000000,WEST 57 STREET,7 AVENUE
63,1,63,2,0,0,2,5,2016,28703,1011602.929900000000000,174539.048299999990000,GLENWOOD ROAD,EAST 98 STREET
