FID,YR,NODEID,Lon,Lat,Injuries_COUNT,PedInjurie_COUNT,BikeInjuri_COUNT,MVOInjurie_COUNT,Injuries,PedInjurie,BikeInjuri,MVOInjurie
3527,2016,32524,-73.85136795,40.70840356,1,0,0,1,1,0,0,1
3528,2016,54144,-73.86508025,40.88429242,1,0,0,1,1,0,0,1
3529,2016,17615,-73.95740601,40.60913091,3,2,1,0,1,1,1,0
3530,2016,11513,-74.03411075,40.61229599,3,1,1,1,1,1,1,1
3531,2016,52462,-73.86542002,40.82780136,2,2,0,0,1,1,0,0
3532,2016,48724,-73.89758656,40.85311543,2,0,0,2,1,0,0,1
3533,2016,26113,-73.93711072,40.66023559,5,1,0,4,1,1,0,1
3534,2016,55511,-73.8279797,40.75763012,5,1,0,4,1,1,0,1
3535,2016,19917,-73.94322686,40.70152071,4,0,2,2,1,0,1,1
3536,2016,12739,-74.00070568,40.58106184,2,0,0,2,1,0,0,1
3537,2016,25395,-73.94221252,40.61752606,1,1,0,0,1,1,0,0
3538,2016,13668,-73.98496383,40.61044799,2,2,0,0,1,1,0,0
3539,2016,53985,-73.83988701,40.86827492,3,0,0,3,1,0,0,1
3540,2016,26449,-73.91886347,40.65630525,3,1,0,2,1,1,0,1
3541,2016,63024,-73.71653153,40.74369616,2,0,0,2,1,0,0,1
3542,2016,185,-74.24315595,40.50835171,1,0,1,0,1,0,1,0
3543,2016,19745,-73.95175747,40.69132931,1,0,1,0,1,0,1,0
3544,2016,28596,-73.90489549,40.63808403,1,0,0,1,1,0,0,1
3545,2016,35242,-73.8055585,40.71216798,1,0,0,1,1,0,0,1
3546,2016,56602,-73.80619604,40.77871612,1,1,0,0,1,1,0,0
3547,2016,43993,-73.9197838,40.84087618,3,1,1,1,1,1,1,1
3548,2016,55415,-73.83229536,40.75194179,4,2,0,2,1,1,0,1
3549,2016,53844,-73.84725145,40.87098705,1,0,0,1,1,0,0,1
3550,2016,3748,-74.16834965,40.60611669,1,0,0,1,1,0,0,1
3551,2016,39086,-73.75125794,40.68373413,4,0,0,4,1,0,0,1
3552,2016,30314,-73.88652827,40.70622521,1,1,0,0,1,1,0,0
3553,2016,45111,-73.90422651,40.72124295,1,0,1,0,1,0,1,0
