FID,YR,NODEID,Lon,Lat,Fatalities_COUNT,PedFatalit_COUNT,BikeFatali_COUNT,MVOFatalit_COUNT,Fatalities,PedFatalit,BikeFatali,MVOFatalit
31,2016,30178,-73.89363337,40.70228614,1,1,0,0,1,1,0,0
32,2016,17465,-73.96137268,40.61009887,1,0,1,0,1,0,1,0
33,2016,8621,-74.11579141,40.60686117,1,1,0,0,1,1,0,0
34,2016,57640,-73.82036474,40.84413351,1,0,0,1,1,0,0,1
35,2016,27217,-73.91388312,40.67993564,1,1,0,0,1,1,0,0
36,2016,55439,-73.83324516,40.76257082,1,1,0,0,1,1,0,0
37,2016,23352,-73.97502204,40.79021185,1,0,0,1,1,0,0,1
38,2016,50884,-73.86140668,40.74930741,1,1,0,0,1,1,0,0
39,2016,47861,-73.90268809999999,40.84458147,1,1,0,0,1,1,0,0
40,2016,51022,-73.85478631,40.75470745,1,1,0,0,1,1,0,0
41,2016,43510,-73.93639683,40.84954119,1,1,0,0,1,1,0,0
42,2016,6675,-74.12750057,40.61565567,1,0,0,1,1,0,0,1
43,2016,53473,-73.8651777,40.87233112,1,0,0,1,1,0,0,1
44,2016,12731,-74.00154542,40.60144199,1,1,0,0,1,1,0,0
45,2016,23636,-73.95093257,40.77070866,1,1,0,0,1,1,0,0
46,2016,58296,-73.82848243,40.8879343,1,0,0,1,1,0,0,1
47,2016,18870,-73.95956770000001,40.68668256,1,0,1,0,1,0,1,0
48,2016,28897,-73.89000589,40.6511487,1,1,0,0,1,1,0,0
49,2016,5215,-74.12714362,40.56757801,1,0,0,1,1,0,0,1
50,2016,19801,-73.95111566,40.71095662,1,1,0,0,1,1,0,0
51,2016,15139,-74.01287852,40.702664500000004,1,1,0,0,1,1,0,0
52,2016,13443,-73.99771359,40.62368027,1,1,0,0,1,1,0,0
53,2016,323,-74.23489564,40.50618808,1,0,0,1,1,0,0,1
54,2016,48414,-73.87640134,40.82897729,1,1,0,0,1,1,0,0
55,2016,43732,-73.9308843,40.84811894,1,1,0,0,1,1,0,0
56,2016,42496,-73.93692774,40.80504641,1,1,0,0,1,1,0,0
57,2016,40685,-73.93742032,40.73376204,1,0,0,1,1,0,0,1
58,2016,23360,-73.97461559999999,40.79332479999999,1,1,0,0,1,1,0,0
59,2016,32266,-73.86236834,40.69595014,1,1,0,0,1,1,0,0
