FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,NODEID,Lon,Lat,STREET1,STREET2
55,1,55,1,1,0,0,2016,43732,-73.9308843,40.84811894,AMSTERDAM AVENUE,WEST 181 STREET
56,1,56,1,1,0,0,2016,42496,-73.93692774,40.80504641,EAST 126 STREET,LEXINGTON AVENUE
57,1,57,1,0,0,1,2016,40685,-73.93742032,40.73376204,REVIEW AVENUE,37 STREET
58,1,58,1,1,0,0,2016,23360,-73.9746156,40.7933248,WEST 93 STREET,WEST END AVENUE
59,1,59,1,1,0,0,2016,32266,-73.86236834,40.69595014,FOREST PARKWAY,PARK LANE SOUTH
60,1,60,1,1,0,0,2016,46864,-73.87632828,40.76318053,ASTORIA BOULEVARD,93 STREET
61,1,61,1,0,0,1,2016,29376,-73.89621774,40.67735818,NEW JERSEY AVENUE,FULTON STREET
62,1,62,1,1,0,0,2016,21508,-73.98202464,40.74904954,EAST 36 STREET,MADISON AVENUE
63,1,63,1,1,0,0,2016,17461,-73.96196553,40.60784311,QUENTIN ROAD,CONEY ISLAND AVENUE
64,1,64,1,1,0,0,2016,26822,-73.93308084,40.67756328,ATLANTIC AVENUE,SCHENECTADY AVENUE
65,1,65,1,1,0,0,2016,41621,-73.92847136,40.76906017,21 STREET,30 ROAD
66,1,66,1,1,0,0,2016,28752,-73.89939429,40.63882374,AVENUE K,EAST 94 STREET
67,1,67,1,1,0,0,2016,49462,-73.89776669,40.89050939,BROADWAY,MANHATTAN COLLEGE PARKWAY
68,1,68,1,0,0,1,2016,54241,-73.85705654,40.88174523,BRONXWOOD AVENUE,EAST 219 STREET
69,1,69,1,0,1,0,2016,49124,-73.87954517,40.86771205,MOSHOLU PARKWAY,SOUTHERN BOULEVARD
70,1,70,1,1,0,0,2016,21731,-73.98184861,40.77958449,BROADWAY,WEST 73 STREET
71,1,71,1,1,0,0,2016,51956,-73.86761326,40.82481759,ROSEDALE AVENUE,BRUCKNER BOULEVARD
72,1,72,1,0,0,1,2016,49295,-73.87159658,40.87864614,EAST GUN HILL ROAD,WEBSTER AVENUE
73,1,73,1,0,0,1,2016,52612,-73.86176167,40.84151272,EAST TREMONT AVENUE,DOGWOOD DRIVE
74,1,74,1,0,1,0,2016,21327,-73.99464572,40.7699811,WEST 55 STREET,12 AVENUE
75,1,75,1,1,0,0,2016,27013,-73.92295908,40.68414766,RALPH AVENUE,MACON STREET
76,1,76,1,1,0,0,2016,30162,-73.89423422,40.70082738,61 STREET,MYRTLE AVENUE
77,1,77,1,1,0,0,2016,42513,-73.93761715,40.81274036,WEST 135 STREET,5 AVENUE
78,1,78,1,0,0,1,2016,2475,-74.1681312,40.52664179,HYLAN BOULEVARD,ALLEN PLACE
79,1,79,1,1,0,0,2016,42121,-73.93445599,40.79730989,1 AVENUE,EAST 118 STREET
80,1,80,1,1,0,0,2016,31820,-73.84279053,40.67061513,ALBERT ROAD,CROSS BAY BOULEVARD
81,1,81,1,1,0,0,2016,21549,-73.98003576,40.76552103,WEST 57 STREET,7 AVENUE
82,1,82,1,0,0,1,2016,53298,-73.8377541,40.84288591,WESTCHESTER AVENUE,HUTCHINSON RIVER PARKWAY
83,1,83,1,1,0,0,2016,43109,-73.91475121,40.82520047,COURTLANDT AVENUE,EAST 162 STREET
84,1,84,2,0,0,2,2016,28703,-73.90143323,40.64570373,GLENWOOD ROAD,EAST 98 STREET
85,1,85,1,0,0,1,2016,54303,-73.85588387,40.88386172,BRONXWOOD AVENUE,EAST 222 STREET
86,1,86,1,1,0,0,2016,55656,-73.82066667,40.76499081,NORTHERN BOULEVARD,146 STREET
87,1,87,1,1,0,0,2016,13404,-74.000842,40.61261629,79 STREET,NEW UTRECHT AVENUE
88,1,88,1,1,0,0,2016,49877,-73.86447086,40.73400727,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD
89,1,89,1,0,1,0,2016,16715,-73.96210267,40.59820611,EAST 9 STREET,AVENUE U
90,1,90,1,0,0,1,2016,16607,-73.96514385,40.59110192,OCEAN PARKWAY,AVENUE X
91,1,91,1,1,0,0,2016,24259,-73.94535906,40.79928686,EAST 115 STREET,MADISON AVENUE
92,1,92,1,0,0,1,2016,34105,-73.81075877,40.67952516,130 STREET,115 AVENUE
93,1,93,1,1,0,0,2016,38031,-73.75527385,40.60533444,BEACH CHANNEL DRIVE,MOTT AVENUE
94,1,94,1,0,1,0,2016,53646,-73.85527808,40.85380789,TOMLINSON AVENUE,NEILL AVENUE
95,1,95,1,1,0,0,2016,51702,-73.84580796,40.78419131,COLLEGE POINT BOULEVARD,15 AVENUE
96,1,96,1,0,1,0,2016,27573,-73.92883355,40.69718546,HART STREET,EVERGREEN AVENUE
97,1,97,2,2,0,0,2016,29769,-73.87536132,40.68274826,FULTON STREET,CHESTNUT STREET
98,1,98,1,1,0,0,2016,43875,-73.92399049,40.8350523,SHAKESPEARE AVENUE,JEROME AVENUE
99,1,99,1,1,0,0,2016,42369,-73.9117788,40.77359531,33 STREET,23 AVENUE
100,1,100,1,1,0,0,2016,44769,-73.90903951,40.86267886,WEST FORDHAM ROAD,SEDGWICK AVENUE
101,1,101,1,1,0,0,2016,52535,-73.86392303,40.84968446,BARNES AVENUE,BRONXDALE AVENUE
102,1,102,1,0,0,1,2016,30552,-73.87380342,40.70760375,COOPER AVENUE,78 STREET
103,1,103,1,1,0,0,2016,53421,-73.86737517,40.87763442,EAST GUN HILL ROAD,WHITE PLAINS ROAD
104,1,104,1,1,0,0,2016,43356,-73.94113609,40.83917889,BROADWAY,WEST 165 STREET
105,1,105,1,0,1,0,2016,28958,-73.88668905,40.6562051,VERMONT STREET,WORTMAN AVENUE
106,1,106,1,1,0,0,2016,12842,-73.99381109,40.60195049,BAY PARKWAY,86 STREET
107,1,107,1,0,0,1,2016,46844,-73.87666752,40.75461048,91 STREET,34 AVENUE
108,1,108,1,1,0,0,2016,20760,-73.98739393,40.71830352,DELANCEY STREET,NORFOLK STREET
109,1,109,1,1,0,0,2016,34276,-73.80536128,40.68105037,VAN WYCK EXPRESSWAY SR WEST,115 AVENUE
110,1,110,1,0,0,1,2016,29342,-73.8959209,40.66447126,LIVONIA AVENUE,GEORGIA AVENUE
111,1,111,1,1,0,0,2016,17422,-73.9661696,40.62465579,AVENUE J,EAST 10 STREET
